"","symbol","CP","strike","ask","EP Buy","Llhd Blw EP","Llhd Abv EP","EV Blw EP","Cost","Gain","EV","CtEV"
"1","ADBE",385.37,390,14.05,375.95,0.44406,0.55594,348.408170002204,-1405,2754.18299977963,441.926802882143,0.31453864973818
"2","COST",496.87,500,12.1,487.9,0.44822,0.55178,463.396008526139,-1210,2450.39914738614,430.664105841416,0.35592074862927
"3","AVGO",641.54,650,20.7,629.3,0.43876,0.56124,593.044825227886,-2070,3625.5174772114,428.965248301273,0.20722958855134
"4","NVDA",277.77,270,9.35,260.65,0.38273,0.61727,235.716264049241,-935,2493.37359507592,377.141426043408,0.403359813950169
"5","CRM",199.78,202.5,7.3,195.2,0.46747,0.53253,180.042314008714,-730,1515.76859912857,319.829447034631,0.438122530184426
"6","MA",363.41,370,13.15,356.85,0.45325,0.54675,335.461933567827,-1315,2138.80664321731,250.437861038248,0.190447042614637
"7","HD",295.12,300,9,291,0.46468,0.53532,275.39815690707,-900,1560.18430929299,243.198444842268,0.270220494269186
"8","UNH",472.59,480,17,463,0.44502,0.55498,436.581459231854,-1700,2641.85407681463,232.211901264045,0.136595236037674
