Symbol,P/E Ratio,EPS,Prev Close
BNTX,4.24,31.54,132.0800018310547
BOKF,12.05,7.41,86.56999969482422
BON,2.22,0.688,1.4600000381469727
BOTJ,8.51,1.34,11.319999694824219
BPMC,8.03,5.66,45.310001373291016
BPOP,6.26,8.7,52.22999954223633
BPRN,14.13,2.27,31.40999984741211
BPYPN,268.46,0.05,13.960000038146973
BPYPO,297.11,0.05,15.300000190734863
BRID,18.18,0.76,13.6899995803833
BRKL,9.39,1.16,10.520000457763672
BRKR,72.48,1.02,72.73999786376953
BRLT,2.64,1.4,3.7100000381469727
BROG,28.72,0.19,5.599999904632568
BSBK,21.4,0.49,10.399999618530273
BSRR,7.15,2.53,17.530000686645508
BSVN,11.96,2.1,25.079999923706055
BSY,127.68,0.33,41.279998779296875
BTBD,21.53,0.138,2.9649999141693115
BTBT,4.09,0.343,1.2999999523162842
BUSE,9.54,2.24,20.739999771118164
BWB,11.22,1.05,11.850000381469727
BWBBP,14.5,1.31,18.75
BWFG,20.21,1.29,25.5
BWMN,196.85,0.14,26.459999084472656
BWMX,4.8,2.19,10.220000267028809
BZFD,6.21,0.165,1.0499999523162842
BZUN,5.45,1.03,5.429999828338623
CAC,8.72,4.37,37.349998474121094
CACC,10.59,40.02,408.7900085449219
CALB,24.77,0.81,19.809999465942383
CALM,39.8,1.37,54.7599983215332
CAMT,35.39,0.78,27.31999969482422
CARA,30.59,0.18,5.300000190734863
CARG,27.18,0.68,17.979999542236328
CASA,3.41,0.339,1.1399999856948853
CASH,12.66,3.5,42.720001220703125
CASS,27.11,1.7,45.279998779296875
CASY,23.5,8.95,207.8699951171875
CATC,12.29,5.66,67.36000061035156
CATY,11.6,3.2,35.68000030517578
CBAN,6.7,1.59,10.489999771118164
CBNK,7.19,2.32,16.280000686645508
CBRL,56.27,2.02,113.55000305175781
CBSH,16.69,3.6,58.84000015258789
CCAP,3.67,3.74,13.449999809265137
CCB,25.41,1.51,36.65999984741211
CCBG,14.14,2.19,30.309999465942383
CCEP,43.03,1.31,56.130001068115234
CCNE,9.42,2.18,19.829999923706055
CCNEP,7.42,2.76,20.5
CCOI,184.74,0.34,63.29999923706055
CCSI,5.48,6.11,32.40999984741211
CD,83.36,0.08,5.960000038146973
CDNS,87.68,2.34,207.07000732421875
CDW,35.44,5.45,191.44000244140625
CELH,802.77,0.11,83.80000305175781
CENT,16.9,2.38,39.689998626708984
CENTA,16.07,2.38,37.75
CFB,10.95,1.08,11.1899995803833
CFBK,4.47,4.47,20.0
CFFI,7.61,7.0,52.31999969482422
CFFN,13.32,0.56,7.369999885559082
CG,6.27,5.06,30.290000915527344
CGBD,172.38,0.08,13.479999542236328
CGNT,122.5,0.028,3.2300000190734863
CGNX,49.28,1.0,49.31999969482422
CGO,6.09,1.55,9.350000381469727
CHCI,22.29,0.24,5.300000190734863
CHCO,18.53,5.02,91.81999969482422
CHI,3.89,2.86,10.930000305175781
CHKP,21.34,6.07,131.00999450683594
CHMG,9.04,4.9,43.849998474121094
CHNR,4.46,0.139,0.6299999952316284
CHRS,3.81,1.62,6.260000228881836
CHRW,21.88,4.43,95.97000122070312
CHTR,19.97,17.69,348.75
CHW,6.0,0.96,5.760000228881836
CHX,70.96,0.38,26.309999465942383
CHY,3.72,3.06,11.210000038146973
CIGI,85.45,1.22,103.08999633789062
CINF,5.89,18.85,110.41000366210938
CIVB,8.4,2.2,17.940000534057617
CIZN,9.34,1.37,12.770000457763672
CLAR,49.22,0.18,8.720000267028809
CLBK,28.78,0.65,17.780000686645508
CLBT,106.55,0.05,5.699999809265137
CLEU,4.23,0.201,0.8500000238418579
CLFD,13.0,3.57,44.63999938964844
CLPS,3.27,0.343,1.1200000047683716
CLRO,45.86,0.029,1.2999999523162842
CLWT,6.31,0.195,1.2300000190734863
CMBM,10.84,1.62,17.510000228881836
CMCO,98.83,0.36,35.16999816894531
CMCSA,14.56,2.53,36.43000030517578
CME,34.47,5.33,184.77999877929688
CNEY,1.5,0.145,0.20200000703334808
CNFR,26.17,0.06,1.5700000524520874
CNOB,7.57,2.47,17.93000030517578
CNOBP,5.13,3.07,14.930000305175781
CNXC,18.39,6.6,120.05000305175781
CNXN,20.28,2.12,42.72999954223633
COCO,24.37,0.72,17.479999542236328
CODA,25.16,0.27,6.769999980926514
CODX,1.28,1.52,1.899999976158142
COFS,10.86,2.42,26.290000915527344
COHU,50.55,0.73,37.2400016784668
COIN,6.13,13.29,75.13999938964844
COKE,28.22,18.3,513.3800048828125
COLB,8.45,2.7,21.190000534057617
COLL,32.5,0.76,24.049999237060547
COLM,35.65,2.46,86.45999908447266
COOP,3.81,10.79,39.47999954223633
CORT,24.81,0.85,20.899999618530273
COSM,54.5,0.06,3.059999942779541
COST,49.79,9.78,489.2900085449219
